Comment,Designator,Footprint,LCSC,Quantity
Conn_01x02,J1,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,,1
WHITE 3528,LED7,LED_PLCC_2835,,1
