Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C4,1500pF,cap0603,149.49,-96.73,90.0,top
Q2,IRLML6344TRPBF,SOT95P237X112-3N,146.5525,-91.03,180.0,top
R54,20R,res0603,149.49,-100.78,90.0,top
R55,1K,res0603,139.74,-100.78,-90.0,top
R56,10K,res0603,139.74,-96.73,90.0,top
R57,1K,res0603,151.24,-92.03,0.0,top
