Comment,Designator,Footprint,LCSC,Quantity
10K,R56,res0603,C25804,1
1500pF,C4,cap0603,C1595,1
1K,"R55,R57",res0603,C21190,2
20R,R54,res0603,C22950,1
IRLML6344TRPBF,Q2,SOT95P237X112-3N,,1
