Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,.1uF,C_0603_1608Metric,-31.5,-3.125,90.0,bottom
C34,.1uF,C_0603_1608Metric,31.4,9.8,270.0,bottom
J8,XT30PW-M,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,-36.75,-14.225,90.0,bottom
J9,XT30PW-M,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,-36.75,1.725,90.0,bottom
R2,10k,R_0603_1608Metric,25.1,24.15,270.0,bottom
R3,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-3.8,36.8,90.0,top
R4,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-1.2,36.8,-90.0,top
R43,10k,R_0603_1608Metric,-24.95,-3.1,90.0,bottom
SW1,SW_SPDT_312,SS12D00G3,1.725,39.975,90.0,top
SW2,SW_SPDT_312,SS12D00G3,5.55,39.975,90.0,top
SW3,SW_SPDT_312,SS12D00G3,9.35,39.95,90.0,top
SW4,SW_SPDT_312,SS12D00G3,13.125,39.975,90.0,top
U1,CD74HC4067SM,CD74HC4067SM,27.6,3.6,90.0,bottom
U2,CD74HC4067SM,CD74HC4067SM,-27.6,3.1625,270.0,bottom
