Comment,Designator,Footprint,LCSC,Quantity
0u1,C16,Capacitor_0603,C3011705,1
10K,R15,Resistor_0603,C25804,1
1K,"R10,R11,R12,R13,R14",Resistor_0603,C21190,5
3K3,"R8,R9",Resistor_0603,C22978,2
AON6354,Q1,8-DFN (5x6)withzedot,C22367225,1
VNH5019ATR-E,IC2,VNH5019A-E custom,C2653552,1
