Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x02,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,93.5,-58.75,0.0,top
LED7,WHITE 3528,LED_PLCC_2835,105.213458,-68.499999,90.0,top
