Comment,Designator,Footprint,LCSC,Quantity
1.33k,R1,R_0603_1608Metric,C17382,1
10u,"C1,C4",C_0603_1608Metric,C19702,2
2.18k,R2,R_0603_1608Metric,C4190,1
220u,"C5,C6",CP_EIA-7343-15_Kemet-W_HandSolder,C5348248,2
22u,"C2,C3",C_0603_1608Metric,C59461,2
OKL-T_6-W12P-C,"PS1,PS2",OKLT6W12PC,C7250619,2
