Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C35,C_0603_1608Metric,C14663,1
0.68uF,C40,C_0603_1608Metric,C24797,1
2K/2.94k,R36,C_0603_1608Metric,C22843,1
33uH,L33,L_APV_APH1040,C2875750,1
3K,R38,C_0603_1608Metric,C4211,1
LM2587S-ADJ,U1,VREG_TPS79625KTTR,C1355343,1
TC33X-2-104E,VR1,TC33X2104E,C719186,1
