Comment,Designator,Footprint,LCSC,Quantity
1.33k,R1,R_0603_1608Metric,C22838,1
10u,"C1,C4",C_0603_1608Metric,C1691,2
2.18k,R2,R_0603_1608Metric,C862654,1
220u,"C5,C6",CP_EIA-7343-15_Kemet-W_HandSolder,C8024,2
22u,"C2,C3",C_0603_1608Metric,C59461,2
SS54,"D1,D2",SS54,C22452,2
